blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 11 7 9 400 12 1 1 0 1 7 1 722
prc 2 1 3 50 15 1 1 0 1 1 1 572
prc 1 7 3 50 24 1 1 0 1 7 1 604
prc 10 1 7 400 8 1 1 0 1 1 1 376
prc 7 7 3 400 17 1 1 0 1 7 1 393
prc 3 7 7 50 17 1 1 0 1 7 1 605
prc 6 1 9 50 15 1 1 0 1 1 1 450
prc 8 1 3 400 24 1 1 0 1 1 1 338
prc 5 7 9 50 15 1 1 0 1 7 1 538
prc 4 1 7 50 12 1 1 0 1 1 1 597
prc 9 7 7 400 24 1 1 0 1 7 1 541
prc 12 1 9 400 21 1 1 0 1 1 1 1094
block1 15 7 7 50 21 1 1 0 1 1 2 545
block1 23 7 9 400 25 1 1 0 1 7 1 583
block1 17 7 9 50 14 1 1 0 1 1 2 1007
block1 13 7 3 50 21 1 1 0 1 7 1 487
block1 14 1 3 50 24 1 1 0 1 1 1 514
block1 21 7 7 400 25 1 1 0 1 7 1 496
block1 24 1 9 400 11 1 1 0 1 1 1 598
block1 20 1 3 400 20 1 1 0 1 1 1 424
block1 16 1 7 50 17 1 1 0 1 1 1 468
block1 18 1 9 50 27 1 1 0 1 1 1 382
block1 19 7 3 400 24 1 1 0 1 7 1 433
block1 22 1 7 400 24 1 1 0 1 1 1 678
block1 34 1 7 400 21 1 1 0 1 1 1 400
block1 29 7 9 50 24 1 1 0 1 7 1 417
block1 32 1 3 400 20 1 1 0 1 1 1 328
block1 30 1 9 50 12 1 1 0 1 1 1 552
block1 33 7 7 400 21 1 1 0 1 7 1 449
block1 35 7 9 400 11 1 1 0 1 7 1 555
block1 36 1 9 400 25 1 1 0 1 1 1 700
block1 27 7 7 50 24 1 1 0 1 7 1 443
block1 26 1 3 50 15 1 1 0 1 1 1 330
block1 31 7 3 400 17 1 1 0 1 7 1 501
block1 28 1 7 50 21 1 1 0 1 1 1 329
block1 25 7 3 50 20 1 1 0 1 7 1 306
block1 41 7 9 50 9 1 1 0 1 7 1 468
block1 48 1 9 400 14 1 1 0 1 1 1 428
block1 40 1 7 50 11 1 1 0 1 1 1 390
block1 43 7 3 400 13 1 1 0 1 7 1 368
block1 45 7 7 400 17 1 1 0 1 7 1 297
block1 44 1 3 400 11 1 1 0 1 1 1 263
block1 38 1 3 50 9 1 1 0 1 1 1 356
block1 39 7 7 50 21 1 1 0 1 7 1 335
block1 37 7 3 50 21 1 1 0 1 7 1 449
block1 46 1 7 400 13 1 1 0 1 1 1 289
block1 47 7 9 400 21 1 1 0 1 1 2 345
block1 42 1 9 50 14 1 1 0 1 1 1 771
block1 49 7 3 50 20 1 1 0 1 7 1 474
block1 58 1 7 400 8 1 1 0 1 1 1 340
block1 57 7 7 400 11 1 1 0 1 7 1 802
block1 60 1 9 400 17 1 1 0 1 1 1 377
block1 56 1 3 400 24 1 1 0 1 1 1 325
block1 55 7 3 400 14 1 1 0 1 7 1 373
block1 51 7 7 50 14 1 1 0 1 7 1 636
block1 50 1 3 50 11 1 1 0 1 1 1 297
block1 53 7 9 50 12 1 1 0 1 7 1 393
block1 54 1 9 50 20 1 1 0 1 1 1 328
block1 52 1 7 50 25 1 1 0 1 1 1 370
block1 59 7 9 400 17 1 1 0 1 7 1 525
block1 65 7 9 50 13 1 1 0 1 7 1 744
block1 67 7 3 400 15 1 1 0 1 7 1 412
block1 71 7 9 400 14 1 1 0 1 7 1 867
block1 62 1 3 50 8 1 1 0 1 1 1 368
block1 61 7 3 50 25 1 1 0 1 7 1 282
block1 72 1 9 400 21 1 1 0 1 1 1 341
block1 70 1 7 400 8 1 1 0 1 1 1 560
block1 68 1 3 400 13 1 1 0 1 1 1 569
block1 69 7 7 400 11 1 1 0 1 7 1 1364
block1 63 7 7 50 20 1 1 0 1 7 1 382
block1 64 1 7 50 24 1 1 0 1 1 1 676
block1 66 1 9 50 13 1 1 0 1 1 1 854
block2 77 7 9 50 14 1 1 0 1 7 1 559
block2 74 1 3 50 14 1 1 0 1 1 1 428
block2 78 1 9 50 13 1 1 0 1 1 1 483
block2 84 1 9 400 15 1 1 0 1 1 1 538
block2 76 1 7 50 21 1 1 0 1 1 1 320
block2 73 7 3 50 20 1 1 0 1 7 1 299
block2 80 1 3 400 27 1 1 0 1 1 1 313
