blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 6 1 9 50 17 1 1 0 1 1 1 934
prc 11 7 9 400 13 1 1 0 1 7 1 1011
prc 12 1 9 400 15 1 1 0 1 1 1 525
prc 8 1 3 400 25 1 1 0 1 1 1 489
prc 5 7 9 50 25 1 1 0 1 7 1 1098
prc 7 7 3 400 11 1 1 0 1 7 1 383
prc 3 7 7 50 11 1 1 0 1 7 1 692
prc 4 1 7 50 13 1 1 0 1 1 1 809
prc 2 1 3 50 27 1 1 0 1 1 1 471
prc 1 7 3 50 27 1 1 0 1 7 1 492
prc 10 1 7 400 13 1 1 0 1 1 1 970
prc 9 7 7 400 12 1 1 0 1 7 1 862
block1 13 7 3 50 13 1 1 0 1 1 2 540
block1 21 7 7 400 24 1 1 0 1 7 1 434
block1 14 1 3 50 17 1 1 0 1 1 1 424
block1 19 7 3 400 27 1 1 0 1 7 1 350
block1 20 1 3 400 11 1 1 0 1 1 1 359
block1 23 7 9 400 9 1 1 0 1 7 1 865
block1 16 1 7 50 21 1 1 0 1 1 1 520
block1 17 7 9 50 27 1 1 0 1 7 1 465
block1 22 1 7 400 9 1 1 0 1 1 1 322
block1 15 7 7 50 11 1 1 0 1 7 1 353
block1 18 1 9 50 25 1 1 0 1 7 2 1147
block1 24 1 9 400 20 1 1 0 1 1 1 1237
block1 27 7 7 50 9 1 1 0 1 7 1 626
block1 33 7 7 400 15 1 1 0 1 7 1 418
block1 35 7 9 400 14 1 1 0 1 7 1 513
block1 32 1 3 400 11 1 1 0 1 1 1 399
block1 34 1 7 400 11 1 1 0 1 1 1 461
block1 28 1 7 50 20 1 1 0 1 1 1 500
block1 25 7 3 50 25 1 1 0 1 7 1 442
block1 26 1 3 50 24 1 1 0 1 1 1 421
block1 29 7 9 50 17 1 1 0 1 7 1 510
block1 30 1 9 50 24 1 1 0 1 1 1 715
block1 31 7 3 400 17 1 1 0 1 7 1 375
block1 36 1 9 400 17 1 1 0 1 1 1 685
block1 40 1 7 50 14 1 1 0 1 1 1 676
block1 47 7 9 400 27 1 1 0 1 7 1 760
block1 39 7 7 50 11 1 1 0 1 7 1 641
block1 42 1 9 50 14 1 1 0 1 1 1 499
block1 37 7 3 50 14 1 1 0 1 7 1 565
block1 45 7 7 400 12 1 1 0 1 7 1 504
block1 48 1 9 400 8 1 1 0 1 1 1 1030
block1 41 7 9 50 21 1 1 0 1 7 1 775
block1 44 1 3 400 8 1 1 0 1 1 1 473
block1 46 1 7 400 21 1 1 0 1 1 1 1075
block1 43 7 3 400 12 1 1 0 1 7 1 465
block1 38 1 3 50 15 1 1 0 1 1 1 518
block1 58 1 7 400 20 1 1 0 1 1 1 639
block1 60 1 9 400 14 1 1 0 1 1 1 1360
block1 54 1 9 50 25 1 1 0 1 1 1 1154
block1 56 1 3 400 13 1 1 0 1 1 1 859
