blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 12 1 9 400 15 1 1 0 1 1 1 761
prc 5 7 9 50 15 1 1 0 1 7 1 992
prc 1 7 3 50 15 1 1 0 1 7 1 1607
prc 2 1 3 50 15 1 1 0 1 1 1 645
prc 7 7 3 400 15 1 1 0 1 7 1 544
prc 10 1 7 400 15 1 1 0 1 1 1 1024
prc 9 7 7 400 15 1 1 0 1 7 1 1540
prc 3 7 7 50 15 1 1 0 1 7 1 968
prc 8 1 3 400 15 1 1 0 1 1 1 709
prc 4 1 7 50 15 1 1 0 1 1 1 845
prc 11 7 9 400 15 1 1 0 1 7 1 1101
prc 6 1 9 50 15 1 1 0 1 1 1 1448
block1 15 7 7 50 15 1 1 0 1 7 1 655
block1 19 7 3 400 15 1 1 0 1 7 1 708
block1 14 1 3 50 15 1 1 0 1 1 1 608
block1 23 7 9 400 15 1 1 0 1 7 1 786
block1 24 1 9 400 15 1 1 0 1 1 1 1568
block1 13 7 3 50 15 1 1 0 1 7 1 588
block1 16 1 7 50 15 1 1 0 1 1 1 1058
block1 22 1 7 400 15 1 1 0 1 1 1 3528
block1 21 7 7 400 15 1 1 0 1 7 1 679
block1 18 1 9 50 15 1 1 0 1 1 1 843
block1 17 7 9 50 15 1 1 0 1 7 1 1634
block1 20 1 3 400 15 1 1 0 1 1 1 1354
block1 26 1 3 50 15 1 1 0 1 1 1 855
block1 27 7 7 50 15 1 1 0 1 7 1 728
block1 28 1 7 50 15 1 1 0 1 1 1 786
block1 25 7 3 50 15 1 1 0 1 7 1 797
block1 33 7 7 400 15 1 1 0 1 7 1 872
block1 31 7 3 400 15 1 1 0 1 7 1 850
block1 29 7 9 50 15 1 1 0 1 7 1 1111
block1 30 1 9 50 15 1 1 0 1 1 1 1689
block1 36 1 9 400 15 1 1 0 1 1 1 971
block1 34 1 7 400 15 1 1 0 1 1 1 1013
block1 32 1 3 400 15 1 1 0 1 1 1 861
block1 35 7 9 400 15 1 1 0 1 7 1 1367
block1 47 7 9 400 15 1 1 0 1 7 1 2451
block1 39 7 7 50 15 1 1 0 1 7 1 1027
block1 44 1 3 400 15 1 1 0 1 1 1 784
block1 46 1 7 400 15 1 1 0 1 1 1 724
block1 40 1 7 50 15 1 1 0 1 1 1 1739
block1 42 1 9 50 15 1 1 0 1 1 1 812
block1 37 7 3 50 15 1 1 0 1 7 1 537
block1 41 7 9 50 15 1 1 0 1 7 1 1037
block1 45 7 7 400 15 1 1 0 1 7 1 1150
block1 48 1 9 400 15 1 1 0 1 1 1 1877
block1 43 7 3 400 15 1 1 0 1 7 1 665
block1 38 1 3 50 15 1 1 0 1 1 1 625
block1 55 7 3 400 15 1 1 0 1 7 1 771
block1 60 1 9 400 15 1 1 0 1 1 1 1759
block1 54 1 9 50 15 1 1 0 1 1 1 1714
block1 59 7 9 400 15 1 1 0 1 7 1 1025
block1 56 1 3 400 15 1 1 0 1 1 1 1094
block1 52 1 7 50 15 1 1 0 1 1 1 1317
block1 51 7 7 50 15 1 1 0 1 7 1 1351
block1 50 1 3 50 15 1 1 0 1 1 1 1400
block1 49 7 3 50 15 1 1 0 1 7 1 893
block1 58 1 7 400 15 1 1 0 1 1 1 1544
block1 57 7 7 400 15 1 1 0 1 7 1 1210
block1 53 7 9 50 15 1 1 0 1 7 1 1669
block1 61 7 3 50 15 1 1 0 1 7 1 1489
block1 62 1 3 50 15 1 1 0 1 1 1 920
block1 67 7 3 400 15 1 1 0 1 7 1 1107
block1 64 1 7 50 15 1 1 0 1 1 1 1148
block1 68 1 3 400 15 1 1 0 1 1 1 887
block1 65 7 9 50 15 1 1 0 1 7 1 1303
block1 70 1 7 400 15 1 1 0 1 1 1 1584
block1 63 7 7 50 15 1 1 0 1 7 1 1954
block1 69 7 7 400 15 1 1 0 1 7 1 1571
block1 71 7 9 400 15 1 1 0 1 7 1 1325
block1 72 1 9 400 15 1 1 0 1 1 1 1367
block1 66 1 9 50 15 1 1 0 1 1 1 1118
block2 78 1 9 50 15 1 1 0 1 1 1 1531
block2 80 1 3 400 15 1 1 0 1 1 1 705
block2 77 7 9 50 15 1 1 0 1 7 1 1121
block2 84 1 9 400 15 1 1 0 1 1 1 1954
block2 75 7 7 50 15 1 1 0 1 7 1 1187
block2 73 7 3 50 15 1 1 0 1 7 1 644
block2 79 7 3 400 15 1 1 0 1 7 1 599
block2 83 7 9 400 15 1 1 0 1 7 1 1522
block2 82 1 7 400 15 1 1 0 1 1 1 694
block2 81 7 7 400 15 1 1 0 1 7 1 795
block2 76 1 7 50 15 1 1 0 1 1 1 1556
block2 74 1 3 50 15 1 1 0 1 1 1 1754
block2 93 7 7 400 15 1 1 0 1 7 1 893
block2 94 1 7 400 15 1 1 0 1 1 1 1089
block2 87 7 7 50 15 1 1 0 1 7 1 1135
block2 86 1 3 50 15 1 1 0 1 1 1 820
block2 91 7 3 400 15 1 1 0 1 7 1 1011
block2 92 1 3 400 15 1 1 0 1 1 1 752
block2 90 1 9 50 15 1 1 0 1 1 1 1466
block2 89 7 9 50 15 1 1 0 1 7 1 1208
block2 88 1 7 50 15 1 1 0 1 1 1 1344
block2 96 1 9 400 15 1 1 0 1 1 1 1270
block2 85 7 3 50 15 1 1 0 1 7 1 799
block2 95 7 9 400 15 1 1 0 1 7 1 2328
block2 106 1 7 400 15 1 1 0 1 1 1 1610
block2 97 7 3 50 15 1 1 0 1 7 1 969
block2 105 7 7 400 15 1 1 0 1 7 1 995
block2 107 7 9 400 15 1 1 0 1 7 1 1560
block2 99 7 7 50 15 1 1 0 1 7 1 1775
block2 101 7 9 50 15 1 1 0 1 7 1 1475
block2 108 1 9 400 15 1 1 0 1 1 1 942
block2 100 1 7 50 15 1 1 0 1 1 1 1266
block2 102 1 9 50 15 1 1 0 1 1 1 1528
block2 98 1 3 50 15 1 1 0 1 1 1 1013
block2 104 1 3 400 15 1 1 0 1 1 1 806
block2 103 7 3 400 15 1 1 0 1 7 1 803
block2 113 7 9 50 15 1 1 0 1 7 1 1191
block2 120 1 9 400 15 1 1 0 1 1 1 1514
block2 109 7 3 50 15 1 1 0 1 7 1 866
block2 114 1 9 50 15 1 1 0 1 1 1 1254
block2 115 7 3 400 15 1 1 0 1 7 1 1116
block2 116 1 3 400 15 1 1 0 1 1 1 1276
block2 112 1 7 50 15 1 1 0 1 1 1 1360
block2 118 1 7 400 15 1 1 0 1 1 1 1236
block2 111 7 7 50 15 1 1 0 1 7 1 1273
block2 110 1 3 50 15 1 1 0 1 1 1 919
block2 117 7 7 400 15 1 1 0 1 7 1 1314
block2 119 7 9 400 15 1 1 0 1 7 1 1526
block2 132 1 9 400 15 1 1 0 1 1 1 816
block2 131 7 9 400 15 1 1 0 1 7 1 1479
block2 122 1 3 50 15 1 1 0 1 1 1 747
block2 126 1 9 50 15 1 1 0 1 1 1 843
block2 125 7 9 50 15 1 1 0 1 7 1 1238
block2 121 7 3 50 15 1 1 0 1 7 1 790
block2 124 1 7 50 15 1 1 0 1 1 1 694
block2 128 1 3 400 15 1 1 0 1 1 1 706
block2 127 7 3 400 15 1 1 0 1 7 1 714
block2 129 7 7 400 15 1 1 0 1 7 1 986
block2 130 1 7 400 15 1 1 0 1 1 1 887
block2 123 7 7 50 15 1 1 0 1 7 1 862
block3 141 7 7 400 15 1 1 0 1 7 1 944
block3 143 7 9 400 15 1 1 0 1 7 1 956
block3 133 7 3 50 15 1 1 0 1 7 1 772
block3 135 7 7 50 15 1 1 0 1 7 1 921
block3 142 1 7 400 15 1 1 0 1 1 1 1303
block3 134 1 3 50 15 1 1 0 1 1 1 843
block3 138 1 9 50 15 1 1 0 1 1 1 1485
block3 136 1 7 50 15 1 1 0 1 1 1 1650
block3 137 7 9 50 15 1 1 0 1 7 1 946
block3 144 1 9 400 15 1 1 0 1 1 1 1074
block3 140 1 3 400 15 1 1 0 1 1 1 826
block3 139 7 3 400 15 1 1 0 1 7 1 835
block3 156 1 9 400 15 1 1 0 1 1 1 1606
block3 148 1 7 50 15 1 1 0 1 1 1 1060
block3 155 7 9 400 15 1 1 0 1 7 1 1361
block3 149 7 9 50 15 1 1 0 1 7 1 963
block3 145 7 3 50 15 1 1 0 1 7 1 750
block3 154 1 7 400 15 1 1 0 1 1 1 879
block3 147 7 7 50 15 1 1 0 1 7 1 926
block3 146 1 3 50 15 1 1 0 1 1 1 601
block3 151 7 3 400 15 1 1 0 1 7 1 692
block3 150 1 9 50 15 1 1 0 1 1 1 1313
block3 153 7 7 400 15 1 1 0 1 7 1 962
block3 152 1 3 400 15 1 1 0 1 1 1 610
block3 164 1 3 400 15 1 1 0 1 1 1 724
block3 159 7 7 50 15 1 1 0 1 7 1 1073
block3 163 7 3 400 15 1 1 0 1 7 1 745
block3 162 1 9 50 15 1 1 0 1 1 1 1556
block3 160 1 7 50 15 1 1 0 1 1 1 1556
block3 158 1 3 50 15 1 1 0 1 1 1 692
block3 168 1 9 400 15 1 1 0 1 1 1 785
block3 157 7 3 50 15 1 1 0 1 7 1 651
block3 165 7 7 400 15 1 1 0 1 7 1 940
block3 167 7 9 400 15 1 1 0 1 7 1 1285
block3 166 1 7 400 15 1 1 0 1 1 1 1102
block3 161 7 9 50 15 1 1 0 1 7 1 1037
block3 171 7 7 50 15 1 1 0 1 7 1 707
block3 170 1 3 50 15 1 1 0 1 1 1 866
block3 179 7 9 400 15 1 1 0 1 7 1 1176
block3 180 1 9 400 15 1 1 0 1 1 1 892
block3 172 1 7 50 15 1 1 0 1 1 1 1308
block3 176 1 3 400 15 1 1 0 1 1 1 715
block3 169 7 3 50 15 1 1 0 1 7 1 1063
block3 174 1 9 50 15 1 1 0 1 1 1 1800
block3 175 7 3 400 15 1 1 0 1 7 1 1254
block3 173 7 9 50 15 1 1 0 1 7 1 1336
block3 178 1 7 400 15 1 1 0 1 1 1 1222
block3 177 7 7 400 15 1 1 0 1 7 1 1313
block3 188 1 3 400 15 1 1 0 1 1 1 696
block3 181 7 3 50 15 1 1 0 1 7 1 762
block3 192 1 9 400 15 1 1 0 1 1 1 1250
block3 190 1 7 400 15 1 1 0 1 1 1 779
block3 182 1 3 50 15 1 1 0 1 1 1 763
block3 191 7 9 400 15 1 1 0 1 7 1 1690
block3 185 7 9 50 15 1 1 0 1 7 1 1003
block3 187 7 3 400 15 1 1 0 1 7 1 1370
block3 184 1 7 50 15 1 1 0 1 1 1 797
block3 186 1 9 50 15 1 1 0 1 1 1 700
block3 183 7 7 50 15 1 1 0 1 7 1 1417
block3 189 7 7 400 15 1 1 0 1 7 1 935
block4 193 7 3 50 15 1 1 0 1 7 1 1266
block4 197 7 9 50 15 1 1 0 1 7 1 893
block4 194 1 3 50 15 1 1 0 1 1 1 1250
block4 196 1 7 50 15 1 1 0 1 1 1 1048
block4 203 7 9 400 15 1 1 0 1 7 1 1406
block4 202 1 7 400 15 1 1 0 1 1 1 827
block4 204 1 9 400 15 1 1 0 1 1 1 1708
block4 195 7 7 50 15 1 1 0 1 7 1 834
block4 200 1 3 400 15 1 1 0 1 1 1 599
block4 198 1 9 50 15 1 1 0 1 1 1 1228
block4 201 7 7 400 15 1 1 0 1 7 1 931
block4 199 7 3 400 15 1 1 0 1 7 1 576
block4 214 1 7 400 15 1 1 0 1 1 1 1065
block4 211 7 3 400 15 1 1 0 1 7 1 590
block4 212 1 3 400 15 1 1 0 1 1 1 1253
block4 216 1 9 400 15 1 1 0 1 1 1 1778
block4 210 1 9 50 15 1 1 0 1 1 1 831
block4 207 7 7 50 15 1 1 0 1 7 1 939
block4 209 7 9 50 15 1 1 0 1 7 1 1303
block4 208 1 7 50 15 1 1 0 1 1 1 1627
block4 213 7 7 400 15 1 1 0 1 7 1 1466
block4 215 7 9 400 15 1 1 0 1 7 1 1251
block4 206 1 3 50 15 1 1 0 1 1 1 636
block4 205 7 3 50 15 1 1 0 1 7 1 1003
block4 225 7 7 400 15 1 1 0 1 7 1 1189
block4 224 1 3 400 15 1 1 0 1 1 1 713
block4 228 1 9 400 15 1 1 0 1 1 1 1688
block4 219 7 7 50 15 1 1 0 1 7 1 1177
block4 226 1 7 400 15 1 1 0 1 1 1 850
block4 220 1 7 50 15 1 1 0 1 1 1 2073
block4 223 7 3 400 15 1 1 0 1 7 1 808
block4 217 7 3 50 15 1 1 0 1 7 1 1176
block4 218 1 3 50 15 1 1 0 1 1 1 1744
block4 222 1 9 50 15 1 1 0 1 1 1 2115
block4 227 7 9 400 15 1 1 0 1 7 1 1606
block4 221 7 9 50 15 1 1 0 1 7 1 898
block4 231 7 7 50 15 1 1 0 1 7 1 734
block4 233 7 9 50 15 1 1 0 1 7 1 897
block4 234 1 9 50 15 1 1 0 1 1 1 1544
block4 239 7 9 400 15 1 1 0 1 7 1 1050
block4 229 7 3 50 15 1 1 0 1 7 1 698
block4 232 1 7 50 15 1 1 0 1 1 1 1116
block4 236 1 3 400 15 1 1 0 1 1 1 619
block4 237 7 7 400 15 1 1 0 1 7 1 1564
block4 230 1 3 50 15 1 1 0 1 1 1 995
block4 235 7 3 400 15 1 1 0 1 7 1 1306
block4 240 1 9 400 15 1 1 0 1 1 1 925
block4 238 1 7 400 15 1 1 0 1 1 1 2641
block4 242 1 3 50 15 1 1 0 1 1 1 688
block4 241 7 3 50 15 1 1 0 1 7 1 654
block4 249 7 7 400 15 1 1 0 1 7 1 658
block4 250 1 7 400 15 1 1 0 1 1 1 1729
block4 244 1 7 50 15 1 1 0 1 1 1 1001
block4 245 7 9 50 15 1 1 0 1 7 1 1601
block4 251 7 9 400 15 1 1 0 1 7 1 651
block4 246 1 9 50 15 1 1 0 1 1 1 1269
block4 247 7 3 400 15 1 1 0 1 7 1 639
block4 252 1 9 400 15 1 1 0 1 1 1 2009
block4 248 1 3 400 15 1 1 0 1 1 1 828
block4 243 7 7 50 15 1 1 0 1 7 1 1016
block5 261 7 7 400 15 1 1 0 1 7 1 707
block5 256 1 7 50 15 1 1 0 1 1 1 736
block5 254 1 3 50 15 1 1 0 1 1 1 580
block5 263 7 9 400 15 1 1 0 1 7 1 1037
block5 253 7 3 50 15 1 1 0 1 7 1 747
block5 259 7 3 400 15 1 1 0 1 7 1 867
block5 262 1 7 400 15 1 1 0 1 1 1 1785
block5 264 1 9 400 15 1 1 0 1 1 1 2774
block5 255 7 7 50 15 1 1 0 1 7 1 912
block5 258 1 9 50 15 1 1 0 1 1 1 1693
block5 260 1 3 400 15 1 1 0 1 1 1 2499
block5 257 7 9 50 15 1 1 0 1 7 1 1562
block5 273 7 7 400 15 1 1 0 1 7 1 959
block5 269 7 9 50 15 1 1 0 1 7 1 1030
block5 271 7 3 400 15 1 1 0 1 7 1 470
block5 276 1 9 400 15 1 1 0 1 1 1 1173
block5 275 7 9 400 15 1 1 0 1 7 1 1659
block5 272 1 3 400 15 1 1 0 1 1 1 780
block5 265 7 3 50 15 1 1 0 1 7 1 700
block5 268 1 7 50 15 1 1 0 1 1 1 1285
block5 270 1 9 50 15 1 1 0 1 1 1 2088
block5 266 1 3 50 15 1 1 0 1 1 1 997
block5 274 1 7 400 15 1 1 0 1 1 1 839
block5 267 7 7 50 15 1 1 0 1 7 1 970
block5 286 1 7 400 15 1 1 0 1 1 1 874
block5 288 1 9 400 15 1 1 0 1 1 1 1444
block5 284 1 3 400 15 1 1 0 1 1 1 674
block5 279 7 7 50 15 1 1 0 1 7 1 757
block5 285 7 7 400 15 1 1 0 1 7 1 921
block5 278 1 3 50 15 1 1 0 1 1 1 647
block5 282 1 9 50 15 1 1 0 1 1 1 910
block5 281 7 9 50 15 1 1 0 1 7 1 1011
block5 287 7 9 400 15 1 1 0 1 7 1 726
block5 280 1 7 50 15 1 1 0 1 1 1 1172
block5 283 7 3 400 15 1 1 0 1 7 1 510
block5 277 7 3 50 15 1 1 0 1 7 1 528
block5 299 7 9 400 15 1 1 0 1 7 1 831
block5 293 7 9 50 15 1 1 0 1 7 1 732
block5 290 1 3 50 15 1 1 0 1 1 1 570
block5 296 1 3 400 15 1 1 0 1 1 1 445
block5 300 1 9 400 15 1 1 0 1 1 1 1266
block5 294 1 9 50 15 1 1 0 1 1 1 1284
block5 292 1 7 50 15 1 1 0 1 1 1 1563
block5 298 1 7 400 15 1 1 0 1 1 1 797
block5 295 7 3 400 15 1 1 0 1 7 1 740
block5 297 7 7 400 15 1 1 0 1 7 1 964
block5 289 7 3 50 15 1 1 0 1 7 1 536
block5 291 7 7 50 15 1 1 0 1 7 1 668
block5 303 7 7 50 15 1 1 0 1 7 1 1815
block5 307 7 3 400 15 1 1 0 1 7 1 711
block5 304 1 7 50 15 1 1 0 1 1 1 1376
block5 311 7 9 400 15 1 1 0 1 7 1 1106
block5 306 1 9 50 15 1 1 0 1 1 1 1070
block5 301 7 3 50 15 1 1 0 1 7 1 578
block5 309 7 7 400 15 1 1 0 1 7 1 1030
block5 308 1 3 400 15 1 1 0 1 1 1 742
block5 302 1 3 50 15 1 1 0 1 1 1 1257
block5 305 7 9 50 15 1 1 0 1 7 1 1167
block5 312 1 9 400 15 1 1 0 1 1 1 1602
block5 310 1 7 400 15 1 1 0 1 1 1 688
block6 324 1 9 400 15 1 1 0 1 1 1 900
block6 323 7 9 400 15 1 1 0 1 7 1 1125
block6 322 1 7 400 15 1 1 0 1 1 1 1086
block6 320 1 3 400 15 1 1 0 1 1 1 502
block6 321 7 7 400 15 1 1 0 1 7 1 716
block6 318 1 9 50 15 1 1 0 1 1 1 1246
block6 313 7 3 50 15 1 1 0 1 7 1 706
block6 319 7 3 400 15 1 1 0 1 7 1 522
block6 315 7 7 50 15 1 1 0 1 7 1 1251
block6 317 7 9 50 15 1 1 0 1 7 1 1864
block6 316 1 7 50 15 1 1 0 1 1 1 1164
block6 314 1 3 50 15 1 1 0 1 1 1 671
block6 332 1 3 400 15 1 1 0 1 1 1 951
block6 334 1 7 400 15 1 1 0 1 1 1 832
block6 330 1 9 50 15 1 1 0 1 1 1 867
block6 327 7 7 50 15 1 1 0 1 7 1 1078
block6 325 7 3 50 15 1 1 0 1 7 1 791
block6 335 7 9 400 15 1 1 0 1 7 1 901
block6 326 1 3 50 15 1 1 0 1 1 1 752
block6 336 1 9 400 15 1 1 0 1 1 1 1704
block6 329 7 9 50 15 1 1 0 1 7 1 1833
block6 333 7 7 400 15 1 1 0 1 7 1 1565
block6 331 7 3 400 15 1 1 0 1 7 1 1080
block6 328 1 7 50 15 1 1 0 1 1 1 2483
block6 346 1 7 400 15 1 1 0 1 1 1 1795
block6 342 1 9 50 15 1 1 0 1 1 1 1690
block6 343 7 3 400 15 1 1 0 1 7 1 753
block6 338 1 3 50 15 1 1 0 1 1 1 1008
block6 347 7 9 400 15 1 1 0 1 7 1 2391
block6 341 7 9 50 15 1 1 0 1 7 1 1002
block6 337 7 3 50 15 1 1 0 1 7 1 848
block6 348 1 9 400 15 1 1 0 1 1 1 2682
block6 339 7 7 50 15 1 1 0 1 7 1 1129
