blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 11 7 9 400 21 1 1 0 1 7 1 1263
prc 10 1 7 400 15 1 1 0 1 1 1 1443
prc 4 1 7 50 27 1 1 0 1 1 1 743
prc 5 7 9 50 25 1 1 0 1 7 1 684
prc 12 1 9 400 21 1 1 0 1 1 1 894
prc 9 7 7 400 20 1 1 0 1 7 1 620
prc 3 7 7 50 9 1 1 0 1 7 1 1071
prc 2 1 3 50 25 1 1 0 1 1 1 412
prc 1 7 3 50 9 1 1 0 1 7 1 534
prc 7 7 3 400 20 1 1 0 1 7 1 587
prc 8 1 3 400 14 1 1 0 1 1 1 597
prc 6 1 9 50 25 1 1 0 1 1 1 1673
block1 14 1 3 50 12 1 1 0 1 1 1 642
block1 21 7 7 400 25 1 1 0 1 7 1 1917
block1 20 1 3 400 25 1 1 0 1 1 1 674
block1 13 7 3 50 8 1 1 0 1 7 1 1229
block1 23 7 9 400 17 1 1 0 1 7 1 573
block1 19 7 3 400 14 1 1 0 1 7 1 507
block1 17 7 9 50 9 1 1 0 1 7 1 1103
block1 15 7 7 50 13 1 1 0 1 7 1 751
block1 18 1 9 50 13 1 1 0 1 1 1 1463
block1 24 1 9 400 14 1 1 0 1 1 1 552
block1 16 1 7 50 9 1 1 0 1 1 1 1239
block1 22 1 7 400 11 1 1 0 1 1 1 523
block1 32 1 3 400 27 1 1 0 1 1 1 473
block1 25 7 3 50 13 1 1 0 1 7 1 462
block1 31 7 3 400 24 1 1 0 1 7 1 410
block1 29 7 9 50 8 1 1 0 1 7 1 527
block1 33 7 7 400 21 1 1 0 1 7 1 912
block1 36 1 9 400 9 1 1 0 1 1 1 1003
block1 27 7 7 50 13 1 1 0 1 7 1 683
block1 26 1 3 50 12 1 1 0 1 1 1 514
block1 34 1 7 400 13 1 1 0 1 1 1 699
block1 28 1 7 50 8 1 1 0 1 1 1 1248
block1 30 1 9 50 25 1 1 0 1 1 1 1111
block1 35 7 9 400 8 1 1 0 1 7 1 1267
block1 38 1 3 50 25 1 1 0 1 1 1 478
block1 43 7 3 400 8 1 1 0 1 7 1 595
block1 44 1 3 400 15 1 1 0 1 1 1 756
block1 42 1 9 50 21 1 1 0 1 1 1 643
block1 39 7 7 50 13 1 1 0 1 7 1 597
block1 41 7 9 50 27 1 1 0 1 7 1 826
block1 45 7 7 400 20 1 1 0 1 7 1 551
block1 48 1 9 400 24 1 1 0 1 1 1 812
block1 47 7 9 400 14 1 1 0 1 7 1 483
block1 46 1 7 400 13 1 1 0 1 1 1 699
block1 40 1 7 50 9 1 1 0 1 1 1 720
block1 37 7 3 50 24 1 1 0 1 7 1 517
block1 57 7 7 400 12 1 1 0 1 7 1 894
block1 56 1 3 400 20 1 1 0 1 1 1 476
block1 50 1 3 50 24 1 1 0 1 1 1 576
block1 51 7 7 50 14 1 1 0 1 7 1 804
block1 58 1 7 400 25 1 1 0 1 1 1 755
block1 49 7 3 50 20 1 1 0 1 7 1 814
block1 59 7 9 400 21 1 1 0 1 7 1 1045
block1 60 1 9 400 27 1 1 0 1 1 1 574
block1 54 1 9 50 11 1 1 0 1 1 1 786
block1 53 7 9 50 24 1 1 0 1 7 1 878
block1 55 7 3 400 20 1 1 0 1 7 1 697
block1 52 1 7 50 20 1 1 0 1 1 1 943
block1 71 7 9 400 13 1 1 0 1 7 1 790
block1 72 1 9 400 24 1 1 0 1 1 1 1416
block1 68 1 3 400 15 1 1 0 1 1 1 454
block1 69 7 7 400 9 1 1 0 1 7 1 511
block1 66 1 9 50 25 1 1 0 1 1 1 607
block1 63 7 7 50 13 1 1 0 1 7 1 537
block1 64 1 7 50 25 1 1 0 1 1 1 563
block1 67 7 3 400 15 1 1 0 1 7 1 479
block1 65 7 9 50 27 1 1 0 1 1 2 1059
block1 62 1 3 50 21 1 1 0 1 1 1 643
block1 61 7 3 50 11 1 1 0 1 7 1 486
block1 70 1 7 400 15 1 1 0 1 1 1 678
block1 84 1 9 400 17 1 1 0 1 1 1 504
block1 82 1 7 400 15 1 1 0 1 1 1 901
block1 81 7 7 400 21 1 1 0 1 7 1 1048
block1 74 1 3 50 12 1 1 0 1 1 1 435
block1 76 1 7 50 24 1 1 0 1 1 1 503
block1 80 1 3 400 11 1 1 0 1 1 1 385
block1 83 7 9 400 24 1 1 0 1 7 1 1720
block1 77 7 9 50 9 1 1 0 1 7 1 682
block1 79 7 3 400 17 1 1 0 1 7 1 428
block1 75 7 7 50 15 1 1 0 1 7 1 905
block1 73 7 3 50 15 1 1 0 1 7 1 533
block1 78 1 9 50 14 1 1 0 1 1 1 509
block1 91 7 3 400 25 1 1 0 1 7 1 497
block1 92 1 3 400 24 1 1 0 1 1 1 497
block1 86 1 3 50 17 1 1 0 1 1 1 563
block1 93 7 7 400 13 1 1 0 1 7 1 453
block1 94 1 7 400 27 1 1 0 1 1 1 821
block1 85 7 3 50 24 1 1 0 1 7 1 646
block1 87 7 7 50 9 1 1 0 1 7 1 805
block1 90 1 9 50 9 1 1 0 1 1 1 804
block1 96 1 9 400 12 1 1 0 1 1 1 1941
block1 95 7 9 400 25 1 1 0 1 7 1 719
block1 89 7 9 50 27 1 1 0 1 7 1 465
block1 88 1 7 50 9 1 1 0 1 1 1 685
block1 101 7 9 50 13 1 1 0 1 7 1 983
block1 105 7 7 400 14 1 1 0 1 7 1 979
block1 99 7 7 50 12 1 1 0 1 1 2 1693
block1 106 1 7 400 17 1 1 0 1 1 1 554
block1 100 1 7 50 17 1 1 0 1 1 1 413
block1 102 1 9 50 20 1 1 0 1 1 1 571
block1 108 1 9 400 17 1 1 0 1 1 1 438
block1 104 1 3 400 8 1 1 0 1 1 1 512
block1 103 7 3 400 12 1 1 0 1 7 1 401
block1 97 7 3 50 17 1 1 0 1 7 1 488
block1 107 7 9 400 21 1 1 0 1 7 1 609
block1 98 1 3 50 25 1 1 0 1 1 1 432
block1 115 7 3 400 20 1 1 0 1 7 1 407
block1 110 1 3 50 14 1 1 0 1 1 1 413
block1 113 7 9 50 25 1 1 0 1 7 1 599
block1 117 7 7 400 21 1 1 0 1 7 1 1119
block1 114 1 9 50 12 1 1 0 1 1 1 818
block1 111 7 7 50 24 1 1 0 1 7 1 1048
block1 109 7 3 50 25 1 1 0 1 7 1 674
block1 112 1 7 50 15 1 1 0 1 1 1 960
block1 120 1 9 400 27 1 1 0 1 1 1 904
block1 116 1 3 400 8 1 1 0 1 1 1 557
block1 118 1 7 400 8 1 1 0 1 1 1 777
block1 119 7 9 400 27 1 1 0 1 7 1 440
block1 131 7 9 400 21 1 1 0 1 7 1 965
block1 126 1 9 50 20 1 1 0 1 1 1 599
block1 130 1 7 400 24 1 1 0 1 1 1 1108
block1 121 7 3 50 12 1 1 0 1 1 2 446
block1 129 7 7 400 9 1 1 0 1 7 1 750
block1 125 7 9 50 11 1 1 0 1 7 1 707
block1 128 1 3 400 17 1 1 0 1 1 1 491
block1 127 7 3 400 13 1 1 0 1 7 1 445
block1 122 1 3 50 11 1 1 0 1 1 1 507
block1 123 7 7 50 14 1 1 0 1 7 1 632
block1 132 1 9 400 24 1 1 0 1 1 1 891
block1 124 1 7 50 9 1 1 0 1 1 1 1690
block2 134 1 3 50 15 1 1 0 1 1 1 469
block2 139 7 3 400 17 1 1 0 1 7 1 375
block2 138 1 9 50 14 1 1 0 1 1 1 460
block2 141 7 7 400 25 1 1 0 1 7 1 582
block2 143 7 9 400 20 1 1 0 1 7 1 1146
block2 144 1 9 400 21 1 1 0 1 1 1 2228
block2 142 1 7 400 27 1 1 0 1 1 1 742
block2 137 7 9 50 24 1 1 0 1 7 1 998
block2 136 1 7 50 11 1 1 0 1 1 1 1641
block2 133 7 3 50 24 1 1 0 1 7 1 651
block2 135 7 7 50 13 1 1 0 1 7 1 472
block2 140 1 3 400 27 1 1 0 1 1 1 481
block2 156 1 9 400 11 1 1 0 1 1 1 1277
block2 147 7 7 50 11 1 1 0 1 7 1 586
block2 150 1 9 50 12 1 1 0 1 1 1 845
block2 148 1 7 50 17 1 1 0 1 1 1 464
block2 149 7 9 50 8 1 1 0 1 7 1 677
block2 152 1 3 400 8 1 1 0 1 1 1 486
block2 151 7 3 400 12 1 1 0 1 7 1 467
block2 153 7 7 400 11 1 1 0 1 7 1 828
block2 146 1 3 50 8 1 1 0 1 1 1 447
block2 154 1 7 400 21 1 1 0 1 1 1 599
block2 145 7 3 50 13 1 1 0 1 7 1 504
block2 155 7 9 400 14 1 1 0 1 1 2 2708
block2 160 1 7 50 14 1 1 0 1 1 1 553
block2 161 7 9 50 12 1 1 0 1 7 1 1258
block2 159 7 7 50 25 1 1 0 1 7 1 1148
block2 164 1 3 400 11 1 1 0 1 1 1 443
block2 163 7 3 400 9 1 1 0 1 7 1 418
block2 157 7 3 50 27 1 1 0 1 7 1 603
block2 167 7 9 400 24 1 1 0 1 7 1 854
block2 162 1 9 50 14 1 1 0 1 1 1 997
block2 166 1 7 400 8 1 1 0 1 1 1 725
block2 158 1 3 50 8 1 1 0 1 1 1 815
block2 165 7 7 400 15 1 1 0 1 7 1 600
block2 168 1 9 400 9 1 1 0 1 1 1 825
block2 180 1 9 400 8 1 1 0 1 1 1 1774
block2 173 7 9 50 14 1 1 0 1 7 1 884
block2 179 7 9 400 12 1 1 0 1 7 1 1032
block2 177 7 7 400 13 1 1 0 1 7 1 727
block2 174 1 9 50 21 1 1 0 1 1 1 899
block2 176 1 3 400 24 1 1 0 1 1 1 524
block2 175 7 3 400 8 1 1 0 1 7 1 358
block2 171 7 7 50 9 1 1 0 1 7 1 1001
block2 172 1 7 50 14 1 1 0 1 1 1 931
block2 178 1 7 400 8 1 1 0 1 1 1 1270
block2 170 1 3 50 11 1 1 0 1 1 1 441
block2 169 7 3 50 21 1 1 0 1 7 1 680
block2 181 7 3 50 12 1 1 0 1 7 1 456
block2 191 7 9 400 25 1 1 0 1 7 1 856
block2 187 7 3 400 24 1 1 0 1 7 1 651
block2 189 7 7 400 25 1 1 0 1 7 1 421
block2 182 1 3 50 27 1 1 0 1 1 1 525
block2 185 7 9 50 21 1 1 0 1 7 1 500
block2 188 1 3 400 9 1 1 0 1 1 1 442
